Site_Number,Station_Name,Lat,Long,Ecoli,Enterococci,Type
5,Crooked Oak Creek,35.284,-97.415,90.6,4044.8,Bacteria
6,West Elm Creek,35.334,-97.385,47.6,326.4,Bacteria
7,Cottonwood Creek - HWY 74,35.775,-97.585,69,795.6,Bacteria
8,Deer Creek,35.755,-97.563,105.6,642.8,Bacteria
9,Cottonwood Creek - Academy Rd,35.822,-97.46,42.6,458,Bacteria
10,West Beaver Creek,36.101,-97.444,1632.8,1549.2,Bacteria
11,Turkey Creek,35.978,-97.923,108.8,645,Bacteria
12,Trail Creek,35.898,-97.857,364.8,4184.8,Bacteria
13,Kingfisher Creek,35.858,-97.994,336.8,334.4,Bacteria
14,Uncle John's Creek,35.828,-97.922,20.8,568.4,Bacteria
15,Little Deep Fork Creek,35.828,-96.534,130.8,159.6,Bacteria
16,Coody Creek,35.714,-95.322,714,276.4,Bacteria
17,Butler Creek,35.581,-95.418,16.4,155.2,Bacteria
18,Gentry Creek,35.537,-95.676,43.6,182,Bacteria
20,Rock Creek,35.261,-97.336,91.2,212,Bacteria
21,Little River,35.282,-97.37,28.8,140,Bacteria
22,Canadian River Deep Fork,35.659,-97.245,10.2,74.8,Bacteria
23,Dugout Creek,35.956,-97.016,32.2,432.4,Bacteria
25,Stillwater Creek - E 68th,36.044,-96.947,30.4,326.4,Bacteria
1,Walnut Creek ,35.164,-97.614,2595.2,9678.4,Bacteria
2,Buggy Creek,35.31,-97.936,5748,24619,Bacteria
3,Shell Creek,35.508,-97.79,1194.8,9678.4,Bacteria
4,Crutcho Creek,35.435,-97.475,7915,24196,Bacteria
5,Crooked Oak Creek,35.284,-97.415,12810,18600,Bacteria
6,West Elm Creek,35.334,-97.385,458,3022.4,Bacteria
7,Cottonwood Creek - HWY 74,35.775,-97.585,4106,359,Bacteria
8,Deer Creek,35.755,-97.563,3930,5380,Bacteria
9,Cottonwood Creek - Academy Rd,35.822,-97.46,235.2,629.4,Bacteria
10,West Beaver Creek,36.101,-97.444,360.9,436,Bacteria
11,Turkey Creek,35.978,-97.923,12,285.1,Bacteria
12,Trail Creek,35.898,-97.857,40.3,658.6,Bacteria
13,Kingfisher Creek,35.858,-97.994,41.9,456.9,Bacteria
14,Uncle John's Creek,35.828,-97.922,25.1,416,Bacteria
15,Little Deep Fork Creek,35.828,-96.534,1246,1076,Bacteria
16,Coody Creek,35.714,-95.322,62,60.5,Bacteria
17,Butler Creek,35.581,-95.418,24.6,38.4,Bacteria
18,Gentry Creek,35.537,-95.676,5.1,8.5,Bacteria
20,Rock Creek,35.261,-97.336,95,239,Bacteria
21,Little River,35.282,-97.37,311,435,Bacteria
22,Canadian River Deep Fork,35.659,-97.245,85,195,Bacteria
23,Dugout Creek,35.956,-97.016,221,591,Bacteria
25,Stillwater Creek - E 68th,36.044,-96.947,620,880,Bacteria
1,Walnut Creek ,35.164,-97.614,5.2,50.4,Bacteria
2,Buggy Creek,35.31,-97.936,11.6,2419.6,Bacteria
3,Shell Creek,35.508,-97.79,52.8,235.9,Bacteria
4,Crutcho Creek,35.435,-97.475,103.9,686.7,Bacteria
5,Crooked Oak Creek,35.284,-97.415,32,240,Bacteria
6,West Elm Creek,35.334,-97.385,24.4,866.4,Bacteria
7,Cottonwood Creek - HWY 74,35.775,-97.585,14.4,143.9,Bacteria
8,Deer Creek,35.755,-97.563,177.7,461.1,Bacteria
9,Cottonwood Creek - Academy Rd,35.822,-97.46,56.1,328.2,Bacteria
10,West Beaver Creek,36.101,-97.444,54.5,22.6,Bacteria
11,Turkey Creek,35.978,-97.923,10.7,133.4,Bacteria
12,Trail Creek,35.898,-97.857,5.1,435.2,Bacteria
13,Kingfisher Creek,35.858,-97.994,5.2,34.1,Bacteria
14,Uncle John's Creek,35.828,-97.922,15.8,122.3,Bacteria
15,Little Deep Fork Creek,35.828,-96.534,727,2419.6,Bacteria
16,Coody Creek,35.714,-95.322,93.4,524.7,Bacteria
17,Butler Creek,35.581,-95.418,35.5,172.3,Bacteria
18,Gentry Creek,35.537,-95.676,166.4,517,Bacteria
20,Rock Creek,35.261,-97.336,1119.9,1732.9,Bacteria
21,Little River,35.282,-97.37,866.4,2419.6,Bacteria
22,Canadian River Deep Fork,35.659,-97.245,6.3,27.2,Bacteria
23,Dugout Creek,35.956,-97.016,547.5,2419.6,Bacteria
25,Stillwater Creek - E 68th,36.044,-96.947,158.5,1732.9,Bacteria
1,Walnut Creek ,35.164,-97.614,43.6,151.6,Bacteria
2,Buggy Creek,35.31,-97.936,12.4,714,Bacteria
3,Shell Creek,35.508,-97.79,116.8,2452.4,Bacteria
4,Crutcho Creek,35.435,-97.475,327,134,Bacteria
5,Crooked Oak Creek,35.284,-97.415,80.8,189.2,Bacteria
6,West Elm Creek,35.334,-97.385,101.2,518.4,Bacteria
7,Cottonwood Creek - HWY 74,35.775,-97.585,47.6,2595.2,Bacteria
8,Deer Creek,35.755,-97.563,57.6,1169.6,Bacteria
9,Cottonwood Creek - Academy Rd,35.822,-97.46,16.4,736.8,Bacteria
10,West Beaver Creek,36.101,-97.444,213,512,Bacteria
11,Turkey Creek,35.978,-97.923,40,816,Bacteria
12,Trail Creek,35.898,-97.857,74,5198.8,Bacteria
13,Kingfisher Creek,35.858,-97.994,52,683,Bacteria
14,Uncle John's Creek,35.828,-97.922,142,1274,Bacteria
15,Little Deep Fork Creek,35.828,-96.534,190,1267.6,Bacteria
16,Coody Creek,35.714,-95.322,20,538,Bacteria
17,Butler Creek,35.581,-95.418,30,689,Bacteria
18,Gentry Creek,35.537,-95.676,31,355,Bacteria
20,Rock Creek,35.261,-97.336,53.6,215.2,Bacteria
21,Little River,35.282,-97.37,16.4,90.4,Bacteria
22,Canadian River Deep Fork,35.659,-97.245,8,198.4,Bacteria
23,Dugout Creek,35.956,-97.016,41,420,Bacteria
25,Stillwater Creek - E 68th,36.044,-96.947,10,489,Bacteria
1,Walnut Creek ,35.164,-97.614,56.4,13540,Bacteria
2,Buggy Creek,35.31,-97.936,32.4,9678.4,Bacteria
3,Shell Creek,35.508,-97.79,134.4,506.8,Bacteria
4,Crutcho Creek,35.435,-97.475,33.6,261.3,Bacteria
5,Crooked Oak Creek,35.284,-97.415,16,235.9,Bacteria
6,West Elm Creek,35.334,-97.385,40.4,108.1,Bacteria
7,Cottonwood Creek - HWY 74,35.775,-97.585,19.5,118.7,Bacteria
8,Deer Creek,35.755,-97.563,305,2430,Bacteria
9,Cottonwood Creek - Academy Rd,35.822,-97.46,19.5,118.7,Bacteria
10,West Beaver Creek,36.101,-97.444,95.9,172.3,Bacteria
11,Turkey Creek,35.978,-97.923,384,4200,Bacteria
12,Trail Creek,35.898,-97.857,59.8,3683.2,Bacteria
13,Kingfisher Creek,35.858,-97.994,31,5475,Bacteria
14,Uncle John's Creek,35.828,-97.922,250,3500,Bacteria
15,Little Deep Fork Creek,35.828,-96.534,72.3,39.9,Bacteria
16,Coody Creek,35.714,-95.322,22.6,60.2,Bacteria
17,Butler Creek,35.581,-95.418,16.9,172.3,Bacteria
18,Gentry Creek,35.537,-95.676,9.5,27.5,Bacteria
20,Rock Creek,35.261,-97.336,8.4,325.5,Bacteria
21,Little River,35.282,-97.37,85.2,129.6,Bacteria
22,Canadian River Deep Fork,35.659,-97.245,2,110.6,Bacteria
23,Dugout Creek,35.956,-97.016,3.1,114.5,Bacteria
25,Stillwater Creek - E 68th,36.044,-96.947,19.9,111.9,Bacteria
1,Walnut Creek ,35.164,-97.614,686.7,613.1,Bacteria
2,Buggy Creek,35.31,-97.936,6.2,579.4,Bacteria
3,Shell Creek,35.508,-97.79,129.1,224.7,Bacteria
4,Crutcho Creek,35.435,-97.475,2700,24196,Bacteria
5,Crooked Oak Creek,35.284,-97.415,8664,24196,Bacteria
6,West Elm Creek,35.334,-97.385,12740,24196,Bacteria
7,Cottonwood Creek - HWY 74,35.775,-97.585,359,4611,Bacteria
8,Deer Creek,35.755,-97.563,1892,4352,Bacteria
9,Cottonwood Creek - Academy Rd,35.822,-97.46,50,2359,Bacteria
10,West Beaver Creek,36.101,-97.444,228,1483,Bacteria
11,Turkey Creek,35.978,-97.923,85,1169,Bacteria
12,Trail Creek,35.898,-97.857,245,4611,Bacteria
13,Kingfisher Creek,35.858,-97.994,119,6131,Bacteria
14,Uncle John's Creek,35.828,-97.922,53.7,461.1,Bacteria
15,Little Deep Fork Creek,35.828,-96.534,136.4,1302,Bacteria
16,Coody Creek,35.714,-95.322,80.4,115.2,Bacteria
17,Butler Creek,35.581,-95.418,309,1624,Bacteria
18,Gentry Creek,35.537,-95.676,48,1041,Bacteria
