Site_Number,Station_Name,Lat,Long,Type
07230000,"Little River blw Lk Thunderbird nr Norman, OK",35.22173637,-97.2139165,Streamflow
07230500,"Little River near Tecumseh, OK",35.17257416,-96.9319662,Streamflow
07231000,"Little River near Sasakwa, OK",34.9653615,-96.5125113,Streamflow
07231500,"Canadian River at Calvin, OK",34.97786698,-96.2436172,Streamflow
07234000,"Beaver River at Beaver, OK",36.82224819,-100.5193158,Streamflow
07235000,"Wolf Ck at Lipscomb, TX",36.23864885,-100.2756889,Streamflow
07235600,"Wolf Creek nr Gage, OK",36.32666667,-99.7611111,Streamflow
07237500,"North Canadian River at Woodward, OK",36.43670336,-99.2784383,Streamflow
07238000,"North Canadian River near Seiling, OK",36.18337277,-98.9212057,Streamflow
07239300,"North Canadian River blw Weavers Ck nr Watonga, OK",35.8119886,-98.4209053,Streamflow
07239450,"North Canadian River near Calumet, OK",35.6169933,-98.0653316,Streamflow
07239500,"North Canadian River near El Reno, OK",35.56310656,-97.9575498,Streamflow
07239700,"North Canadian River near Yukon, OK",35.5394985,-97.7425442,Streamflow
07240000,"Lake Hefner Canal near Oklahoma City, OK",35.55311129,-97.6200419,Streamflow
07241000,"North Canadian River blw Lk Overholser nr OKC, OK",35.47866848,-97.6633752,Streamflow
07241520,"North Canadian River at Britton Rd at OKC, OK",35.5656147,-97.367258,Streamflow
07241550,"North Canadian River near Harrah, OK",35.5003412,-97.1939194,Streamflow
07241780,"Squirrel Creek at Shawnee, OK",35.30416667,-96.9122222,Streamflow
07241800,"North Canadian River at Shawnee, OK",35.33312675,-96.8694661,Streamflow
07242000,"North Canadian River near Wetumka, OK",35.2656454,-96.2061167,Streamflow
07242380,"Deep Fork at Warwick, OK",35.68089589,-97.0083615,Streamflow
07243500,"Deep Fork near Beggs, OK",35.6739876,-96.0686077,Streamflow
07245000,"Canadian River near Whitefield, OK",35.26231927,-95.2371891,Streamflow
07247000,"Poteau River at Cauthron, AR",34.91888889,-94.2994444,Streamflow
07247015,"Poteau River at Loving, OK",34.87982388,-94.4841112,Streamflow
07247250,"Black Fork below Big Creek nr Page, OK",34.7737148,-94.5121685,Streamflow
07247500,"Fourche Maline near Red Oak, OK",34.91259909,-95.1557985,Streamflow
